id,atividade_economica,enquadramento,len_count,seq1,codigo_resumido,seq,name,taxa_anual,vida_util,method,method_number,method_period,journal_id:id,prorata_computation_type,state,asset_type
__Import_assets_models_MyCompany_00A-2.7,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,2-Máquinas e equipamentos,3,A,A-2.7,2.70,Outras máquinas e equipamentos da exploração agrícola ou pecuária,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-3.1,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,3-Plantações,3,A,A-3.1,3.10,Pomares,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-3.2,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,3-Plantações,3,A,A-3.2,3.20,Plantações várias,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-4.1,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,4-Animais vivos,3,A,A-4.1,4.10,Gado bovino; suíno; caprino; ovino e cavalar,20.00,5,"Straight Line", 60 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-4.2,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,4-Animais vivos,3,A,A-4.2,4.20,Galos; galinhas; patos e perus e outros ovíparos de criação rápida,50.00,2,"Straight Line", 24 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-4.3,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,4-Animais vivos,3,A,A-4.3,4.30,Outros animais vivos,14.29,7,"Straight Line", 84 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-5.1,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,5-Terrenos em exploração,3,A,A-5.1,5.10,Agricultura,4.00,25,"Straight Line", 300 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-5.2,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,5-Terrenos em exploração,3,A,A-5.2,5.20,Silvicultura,4.00,25,"Straight Line", 300 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-5.3,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,5-Terrenos em exploração,3,A,A-5.3,5.30,Aquicultura,2.00,50,"Straight Line", 600 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-1.1,B-Pesca,1-Barcos de pesca,3,B,B-1.1,1.10,Costeiros (traineiras e embarcações de pequeno calado),12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-1.2,B-Pesca,1-Barcos de pesca,3,B,B-1.2,1.20,De alto mar - de ferro,7.14,14,"Straight Line", 168 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-1.3,B-Pesca,1-Barcos de pesca,3,B,B-1.3,1.30,De alto mar - de madeira,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-1.4,B-Pesca,1-Barcos de pesca,3,B,B-1.4,1.40,De alto mar - de fibra de vidro,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-1.5,B-Pesca,1-Barcos de pesca,3,B,B-1.5,1.50,Navios-fábricas e navios-frigoríficos,7.14,14,"Straight Line", 168 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-1.6,B-Pesca,1-Barcos de pesca,3,B,B-1.6,1.60,Aparelhos localizadores; detectores; de telefonia; de radiogoniometria e de radar,20.00,5,"Straight Line", 60 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-1.7,B-Pesca,1-Barcos de pesca,3,B,B-1.7,1.70,Aprestos de pesca,33.33,3,"Straight Line", 36 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-2.1,B-Pesca,2-Instalações,3,B,B-2.1,2.10,Embarcadouros e instalações de carga e descarga,7.14,14,"Straight Line", 168 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-2.2,B-Pesca,2-Instalações,3,B,B-2.2,2.20,Viveiros,8.33,12,"Straight Line", 144 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-2.3,B-Pesca,2-Instalações,3,B,B-2.3,2.30,Secadores,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-2.4,B-Pesca,2-Instalações,3,B,B-2.4,2.40,Instalações para limpeza e primeira preparação dos produtos da pesca,5.00,20,"Straight Line", 240 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-2.5,B-Pesca,2-Instalações,3,B,B-2.5,2.50,Instalações de conservação e congelação dos produtos da pesca,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-3.1,B-Pesca,3-Máquinas e equipamentos,3,B,B-3.1,3.10,Máquinas e equipamentos para secagem,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-3.2,B-Pesca,3-Máquinas e equipamentos,3,B,B-3.2,3.20,Máquinas e equipamentos de preparação; conservação; embalagem e congelação,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-4.1,B-Pesca,4-Ponte - Cais,3,B,B-4.1,4.10,De betão,33.33,3,"Straight Line", 36 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-4.2,B-Pesca,4-Ponte - Cais,3,B,B-4.2,4.20,De madeira,6.25,16,"Straight Line", 192 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00B-4.3,B-Pesca,4-Ponte - Cais,3,B,B-4.3,4.30,De ferro,8.33,12,"Straight Line", 144 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-1.2,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,1-Terrenos,3,C,C-1.2,1.20,Destinados a entulheiras,4.00,25,"Straight Line", 300 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-2.1,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,2-Instalações,3,C,C-2.1,2.10,Instalações para a separação e tratamento primário,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-2.2,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,2-Instalações,3,C,C-2.2,2.20,Instalações para trituração; moagem e classificação,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-2.3,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,2-Instalações,3,C,C-2.3,2.30,Instalações auxiliares,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-2.4,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,2-Instalações,3,C,C-2.4,2.40,Vias férreas e respectivo material circulante,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-3.1,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,3-Máquinas e equipamentos,3,C,C-3.1,3.10,Equipamento mineiro fixo - de superficie,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-3.2,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,3-Máquinas e equipamentos,3,C,C-3.2,3.20,Equipamento mineiro fixo - de subsolo,20.00,5,"Straight Line", 60 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-3.3,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,3-Máquinas e equipamentos,3,C,C-3.3,3.30,Equipamento móvel sobre rodas ou lagartas,20.00,5,"Straight Line", 60 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00C-3.4,C-Indústrias extractivas; excepto indústria petrolífera e indústria mineira,3-Máquinas e equipamentos,3,C,C-3.4,3.40,Ferramentas e utensílios de uso específico,33.33,3,"Straight Line", 36 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-1.1,DA-Indústrias alimentares; das bebidas e do tabaco,1-Indústrias alimentares,3,DA,DA-1.1,1.10,Silos,5.00,20,"Straight Line", 240 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-1.2,DA-Indústrias alimentares; das bebidas e do tabaco,1-Indústrias alimentares,3,DA,DA-1.2,1.20,Depósitos e tanques,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-1.3,DA-Indústrias alimentares; das bebidas e do tabaco,1-Indústrias alimentares,3,DA,DA-1.3,1.30,Fomos fixos,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-1.4,DA-Indústrias alimentares; das bebidas e do tabaco,1-Indústrias alimentares,3,DA,DA-1.4,1.40,Fomos móveis,16.67,6,"Straight Line", 72 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-1.5,DA-Indústrias alimentares; das bebidas e do tabaco,1-Indústrias alimentares,3,DA,DA-1.5,1.50,Máquinas e equipamentos de recepção e de produção (a),12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-1.6,DA-Indústrias alimentares; das bebidas e do tabaco,1-Indústrias alimentares,3,DA,DA-1.6,1.60,Máquinas e equipamentos de embalagem e rotulagem,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-1.7,DA-Indústrias alimentares; das bebidas e do tabaco,1-Indústrias alimentares,3,DA,DA-1.7,1.70,Máquinas e equipamentos de cozinha,14.29,7,"Straight Line", 84 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-1.8,DA-Indústrias alimentares; das bebidas e do tabaco,1-Indústrias alimentares,3,DA,DA-1.8,1.80,Instalações frigoríficas e de ventilação,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-2.1,DA-Indústrias alimentares; das bebidas e do tabaco,2-Indústria das bebidas,3,DA,DA-2.1,2.10,Instalações de captação; poços e depósitos de água,5.00,20,"Straight Line", 240 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-2.2,DA-Indústrias alimentares; das bebidas e do tabaco,2-Indústria das bebidas,3,DA,DA-2.2,2.20,Tanques; cubas e depósitos metálicos,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-2.3,DA-Indústrias alimentares; das bebidas e do tabaco,2-Indústria das bebidas,3,DA,DA-2.3,2.30,Tanques; cubas e depósitos de betão e similares,5.00,20,"Straight Line", 240 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-2.4,DA-Indústrias alimentares; das bebidas e do tabaco,2-Indústria das bebidas,3,DA,DA-2.4,2.40,Caldeiras e alanbiques,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-2.5,DA-Indústrias alimentares; das bebidas e do tabaco,2-Indústria das bebidas,3,DA,DA-2.5,2.50,Máquinas e equipamentos de recepção e de produção (b),12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-2.6,DA-Indústrias alimentares; das bebidas e do tabaco,2-Indústria das bebidas,3,DA,DA-2.6,2.60,Máquinas e equipamentos de enchimento; engarrafamento; rotulagem e embalagem,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-2.7,DA-Indústrias alimentares; das bebidas e do tabaco,2-Indústria das bebidas,3,DA,DA-2.7,2.70,Instalações frigoríficas e de ventilação,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-3.1,DA-Indústrias alimentares; das bebidas e do tabaco,3-Indústria do tabaco,3,DA,DA-3.1,3.10,Câmaras de secagem de betão ou alvenaria,5.00,20,"Straight Line", 240 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-3.2,DA-Indústrias alimentares; das bebidas e do tabaco,3-Indústria do tabaco,3,DA,DA-3.2,3.20,Câmaras de secagem de construção ligeira,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DA-3.3,DA-Indústrias alimentares; das bebidas e do tabaco,3-Indústria do tabaco,3,DA,DA-3.3,3.30,Maquinaria e instalações de uso específico,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DB-1.1,DB-Indústria têxtil,1-Fabricação de têxteis,3,DB,DB-1.1,1.10,Máquinas e equipamentos para o fabrico de fio de malha e tecidos,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DB-1.2,DB-Indústria têxtil,1-Fabricação de têxteis,3,DB,DB-1.2,1.20,Máquinas e equipamentos para o branqueamento; tinturaria e estamparia,14.29,7,"Straight Line", 84 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DB-1.3,DB-Indústria têxtil,1-Fabricação de têxteis,3,DB,DB-1.3,1.30,Máquinas e equipamentos para o fabrico de cordas; cabos; redes e outras fibras duras,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DB-1.4,DB-Indústria têxtil,1-Fabricação de têxteis,3,DB,DB-1.4,1.40,Teares para a indústria de tapeçarias,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DB-1.5,DB-Indústria têxtil,1-Fabricação de têxteis,3,DB,DB-1.5,1.50,Outras máquinas e equipamentos de uso específico,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DB-2.1,DB-Indústria têxtil,2-Indústria do vestuário,3,DB,DB-2.1,2.10,Máquinas e equipamentos para a confecção de peças de vestuário,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DC-1.1,DC-Indústria do couro e de produtos de couro,1-Indústria de curtumes,3,DC,DC-1.1,1.10,Instalações industriais de uso específico,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DC-1.2,DC-Indústria do couro e de produtos de couro,1-Indústria de curtumes,3,DC,DC-1.2,1.20,Máquinas e equipamentos de uso específico,14.29,7,"Straight Line", 84 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DC-2.1,DC-Indústria do couro e de produtos de couro,2-Indústria do calçado,3,DC,DC-2.1,2.10,Máquinas e equipamentos de uso específico,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DC-2.2,DC-Indústria do couro e de produtos de couro,2-Indústria do calçado,3,DC,DC-2.2,2.20,Caldeiras para a produção de vapor,20.00,5,"Straight Line", 60 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DC-2.3,DC-Indústria do couro e de produtos de couro,2-Indústria do calçado,3,DC,DC-2.3,2.30,Moldes e formas,33.33,3,"Straight Line", 36 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-1.1,DD-Indústrias da madeira e da cortiça e suas obras,1-Indústria da madeira,3,DD,DD-1.1,1.10,Silos e depósitos de uso específico,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-1.2,DD-Indústrias da madeira e da cortiça e suas obras,1-Indústria da madeira,3,DD,DD-1.2,1.20,Máquinas e equipamentos de serração; arrasto; elevação e carga,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-1.3,DD-Indústrias da madeira e da cortiça e suas obras,1-Indústria da madeira,3,DD,DD-1.3,1.30,Máquinas e equipamentos de corte; trituração; prensagem; secagem; etc.,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-2.1,DD-Indústrias da madeira e da cortiça e suas obras,"2-Fabricação de obras de madeira, de cortiça, de cestaria e de espartaria",3,DD,DD-2.1,2.10,Silos e depósitos de uso específico,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-2.2,DD-Indústrias da madeira e da cortiça e suas obras,"2-Fabricação de obras de madeira, de cortiça, de cestaria e de espartaria",3,DD,DD-2.2,2.20,Caldeiras a vapor,20.00,5,"Straight Line", 60 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-2.3,DD-Indústrias da madeira e da cortiça e suas obras,"2-Fabricação de obras de madeira, de cortiça, de cestaria e de espartaria",3,DD,DD-2.3,2.30,Autoclaves de cocção,14.29,7,"Straight Line", 84 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-2.4,DD-Indústrias da madeira e da cortiça e suas obras,"2-Fabricação de obras de madeira, de cortiça, de cestaria e de espartaria",3,DD,DD-2.4,2.40,Fomos de fogo semidirecto,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-2.5,DD-Indústrias da madeira e da cortiça e suas obras,"2-Fabricação de obras de madeira, de cortiça, de cestaria e de espartaria",3,DD,DD-2.5,2.50,Outras máquinas e equipamentos para o fabrico de folheados; contrap lacados e aglomerados de partículas e de fibras de madeira,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DD-2.6,DD-Indústrias da madeira e da cortiça e suas obras,"2-Fabricação de obras de madeira, de cortiça, de cestaria e de espartaria",3,DD,DD-2.6,2.60,Outras máquinas e equipamentos de uso específico,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DE-1.1,DE-Indústrias de pasta de papel; de papel e cartão e seus artigos; Edição e impressão,"1-Indústrias de pasta de papel, de papel e cartão e seus artigos",3,DE,DE-1.1,1.10,Depósitos para a preparação de pasta de papel,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DE-1.2,DE-Indústrias de pasta de papel; de papel e cartão e seus artigos; Edição e impressão,"1-Indústrias de pasta de papel, de papel e cartão e seus artigos",3,DE,DE-1.2,1.20,Máquinas e equipamentos para a produção de pasta de papel (a),12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DE-1.3,DE-Indústrias de pasta de papel; de papel e cartão e seus artigos; Edição e impressão,"1-Indústrias de pasta de papel, de papel e cartão e seus artigos",3,DE,DE-1.3,1.30,Máquinas e equipamentos para a produção de papel e cartão (b),10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DE-1.4,DE-Indústrias de pasta de papel; de papel e cartão e seus artigos; Edição e impressão,"1-Indústrias de pasta de papel, de papel e cartão e seus artigos",3,DE,DE-1.4,1.40,Máquinas e equipamentos para transformação de papel e cartão,14.29,7,"Straight Line", 84 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DE-2.1,DE-Indústrias de pasta de papel; de papel e cartão e seus artigos; Edição e impressão,"2-Edição, impressão e serviços relacionados",3,DE,DE-2.1,2.10,Máquinas e equipamentos para composição de jornais; revistas e outras publicações periódicas,20.00,5,"Straight Line", 60 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DE-2.2,DE-Indústrias de pasta de papel; de papel e cartão e seus artigos; Edição e impressão,"2-Edição, impressão e serviços relacionados",3,DE,DE-2.2,2.20,Máquinas e equipamentos de impressão por laser,14.29,7,"Straight Line", 84 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DE-2.3,DE-Indústrias de pasta de papel; de papel e cartão e seus artigos; Edição e impressão,"2-Edição, impressão e serviços relacionados",3,DE,DE-2.3,2.30,Máquinas e equipamentos de impressão por outros sistemas (c),12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00DE-2.4,DE-Indústrias de pasta de papel; de papel e cartão e seus artigos; Edição e impressão,"2-Edição, impressão e serviços relacionados",3,DE,DE-2.4,2.40,Outras máquinas e apetrechos de uso específico,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
